,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
0,Santhi Nivas,"Santhi Nivas, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",450,"[{'lat': 17.48913, 'lng': 78.39116}]",17.48926,78.39119,500085,here:pds:place:356jx7ps-4bdb9344310109a157d710744b55cf8f
1,Sushma Arcade,"Sushma Arcade, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",466,"[{'lat': 17.48941, 'lng': 78.38943}]",17.48954,78.38945,500085,here:pds:place:356jx7ps-3ec870904a52050e2ed609530ad3a01b
2,Shri Sai Brindavana,"Shri Sai Brindavana, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",483,"[{'lat': 17.48947, 'lng': 78.38926}]",17.48948,78.38923,500085,here:pds:place:356jx7ps-a5e5743dc61509f4cc184687e46f02ba
3,Lakshmi Nilayam,"Lakshmi Nilayam, KPHB Clny-Phase 1-Hig, Kukatpally, Hyderabad 500072, India",491,"[{'lat': 17.49128, 'lng': 78.39552}]",17.4914,78.39558,500072,here:pds:place:356jx7ps-e6e95245fbd60c71ffcdcdd471ca1501
4,Sujana Enclave,"Sujana Enclave, KPHB Clny-6th Phase-Hig, Kukatpally, Hyderabad 500085, India",519,"[{'lat': 17.48895, 'lng': 78.38927}]",17.48907,78.38933,500085,here:pds:place:356jx7ps-6168a67a87d90a93720e0d0be4fa23cb
5,Sai Satyam Enclave,"Sai Satyam Enclave, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",533,"[{'lat': 17.48932, 'lng': 78.38865}]",17.48937,78.38852,500085,here:pds:place:356jx7ps-f5e403e68b8a069e28ab020ac40e1334
6,Madhava Nivas,"Madhava Nivas, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",558,"[{'lat': 17.48908, 'lng': 78.38851}]",17.48903,78.38864,500085,here:pds:place:356jx7ps-318cd6fa97fe0505557b2a8555112a97
7,Raja Nivas,"Raja Nivas, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",573,"[{'lat': 17.48894, 'lng': 78.38845}]",17.4889,78.38858,500085,here:pds:place:356jx7ps-73e938f9041207184e0fd2cceb766ec6
8,Sri Datta Residency,"Sri Datta Residency, KPHB Clny, Kukatpally, Hyderabad 500085, India",576,"[{'lat': 17.49067, 'lng': 78.38662}]",17.4908,78.38664,500085,here:pds:place:356jx7ps-a0242c395d7e0f48053596c84e42e416
9,Raaga Residency,"Raaga Residency, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",590,"[{'lat': 17.48885, 'lng': 78.38799}]",17.4891,78.388,500085,here:pds:place:356jx7ps-2887bb8e9ad700cf68bc42aa6a2ae6a2
10,Shiva's Castle,"Shiva's Castle, KPHB Clny-Phase 1, Kukatpally, Hyderabad 500072, India",595,"[{'lat': 17.49064, 'lng': 78.39627}]",17.49062,78.39626,500072,here:pds:place:356teper-d4fb48d5e60748e18f8a2d85bd1920be
11,Prashanthi Nilayam,"Prashanthi Nilayam, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",606,"[{'lat': 17.48966, 'lng': 78.38727}]",17.4896,78.3872,500085,here:pds:place:356jx7ps-82fb3e221038038eef5bd6b09e327354
12,Raaga Homes,"Raaga Homes, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",621,"[{'lat': 17.48876, 'lng': 78.38778}]",17.48882,78.38791,500085,here:pds:place:356teper-67d12cafc98e483787e526fb9fa910fd
13,Tejaswi Towers,"Tejaswi Towers, KPHB Clny-6th Phase-Hig, Kukatpally, Hyderabad 500085, India",633,"[{'lat': 17.48784, 'lng': 78.38963}]",17.4879,78.3895,500085,here:pds:place:356jx7ps-717be43b8f1a0aa748e3c20a07f026fd
14,Thulasree's Nilayam,"Thulasree's Nilayam, No 3 Street, Jal Vayu Vihar-Western Hills, Kukatpally, Hyderabad 500072, India",661,"[{'lat': 17.49849, 'lng': 78.39456}]",17.49844,78.39454,500072,here:pds:place:356jx7ps-efd429381fd30ae793bb4abaf8f0254d
15,Rajababu Residency,"Rajababu Residency, Road No 28, KPHB Clny, Kukatpally, Hyderabad 500085, India",668,"[{'lat': 17.49282, 'lng': 78.38513}]",17.4926,78.38514,500085,here:pds:place:356jx7ps-41601d9b6bae09ebff31ae5b7045b9ca
16,P. S Bose Abode,"P. S Bose Abode, Bhagat Singh Nagar Road, Vasanth NGR, Kukatpally, Hyderabad 500085, India",671,"[{'lat': 17.49299, 'lng': 78.38506}]",17.49297,78.38508,500085,here:pds:place:356jx7ps-c345fb6ed24f0788b6a01b02782d86bc
17,Shiva Shakti's Dharani Sai Residency,"Shiva Shakti's Dharani Sai Residency, KPHB Clny-6th Phase, Kukatpally, Hyderabad 500085, India",686,"[{'lat': 17.48925, 'lng': 78.38671}]",17.48919,78.38658,500085,here:pds:place:356jx7ps-5628674ca5e602e58cf5ff8dc8e4d409
18,Anjani,"Anjani, Bhagat Singh Nagar Road, Vasanth NGR, Kukatpally, Hyderabad 500085, India",686,"[{'lat': 17.49285, 'lng': 78.38494}]",17.49284,78.38495,500085,here:pds:place:356jx7ps-ac5724565f7b09d9a9067a2240456146
19,Sai Balaji Tower,"Sai Balaji Tower, Nannaya Road, Jal Vayu Vihar-Western Hills, Kukatpally, Hyderabad 500072, India",687,"[{'lat': 17.49928, 'lng': 78.39316}]",17.49925,78.39316,500072,here:pds:place:356jx7ps-02eca2a09b850f9ca3cccb71d1a24553
